,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,num_related,has_related,has_special_ticket
0,0,3,male,,0,0,7.8875,S,0,False,False
1,1,3,female,16.0,0,0,7.75,Q,0,False,False
2,1,1,female,59.0,2,0,51.4792,S,2,True,False
3,0,1,male,55.0,1,0,59.4,C,1,True,True
4,0,1,male,36.0,1,0,78.85,S,1,True,False
5,1,1,female,27.0,1,2,52.0,S,3,True,True
6,0,3,male,40.0,1,6,46.9,S,7,True,True
7,0,3,male,25.0,1,0,17.8,S,1,True,False
8,0,3,male,47.0,0,0,7.25,S,0,False,True
9,0,2,male,22.0,0,0,10.5,S,0,False,True
10,0,3,male,36.0,0,0,7.8958,S,0,False,False
11,1,1,male,4.0,0,2,81.8583,S,2,True,False
12,1,1,female,,1,0,89.1042,C,1,True,False
13,1,1,male,38.0,1,0,90.0,S,1,True,False
14,1,1,female,22.0,1,0,66.6,S,1,True,False
15,0,3,male,36.0,0,0,7.4958,S,0,False,False
16,0,3,male,22.0,0,0,7.8958,S,0,False,False
17,0,2,male,35.0,0,0,12.35,Q,0,False,False
18,1,3,female,26.0,0,0,7.925,S,0,False,True
19,0,3,male,24.0,0,0,7.05,S,0,False,True
20,1,1,female,23.0,3,2,263.0,S,5,True,False
21,1,3,female,,0,2,22.3583,C,2,True,False
22,0,3,female,18.0,2,0,18.0,S,2,True,False
23,1,1,female,,1,0,146.5208,C,1,True,True
24,0,3,female,21.0,1,0,9.825,S,1,True,False
25,1,2,female,22.0,1,2,41.5792,C,3,True,True
26,0,1,male,54.0,0,0,51.8625,S,0,False,False
27,0,3,male,,2,0,21.6792,C,2,True,False
28,0,2,female,26.0,1,1,26.0,S,2,True,False
29,0,1,male,28.5,0,0,27.7208,C,0,False,True
30,0,1,male,57.0,1,0,146.5208,C,1,True,True
31,0,3,male,,0,0,8.05,S,0,False,False
32,0,3,male,,1,2,23.45,S,3,True,True
33,0,3,male,45.0,0,0,6.975,S,0,False,False
34,0,3,female,9.0,4,2,31.275,S,6,True,False
35,1,3,female,27.0,0,2,11.1333,S,2,True,False
36,0,3,male,,0,0,7.25,S,0,False,True
37,0,2,male,66.0,0,0,10.5,S,0,False,True
38,0,3,female,22.0,0,0,9.8375,S,0,False,False
39,0,3,male,24.0,0,0,7.8542,S,0,False,False
40,0,3,male,,1,0,19.9667,S,1,True,False
41,0,1,male,57.0,1,1,164.8667,S,2,True,False
42,0,3,male,21.0,0,0,7.8208,Q,0,False,False
43,0,1,male,13.0,2,2,262.375,C,4,True,True
44,0,2,male,19.0,0,0,10.5,S,0,False,False
45,1,1,female,48.0,1,3,262.375,C,4,True,True
46,0,3,male,,0,0,7.775,S,0,False,False
47,0,2,male,36.0,0,0,10.5,S,0,False,True
48,1,1,female,31.0,0,0,134.5,C,0,False,False
49,1,3,female,9.0,1,1,15.2458,C,2,True,False
50,0,3,female,,8,2,69.55,S,10,True,True
51,0,3,male,35.0,0,0,7.05,S,0,False,True
52,0,2,male,30.0,1,0,21.0,S,1,True,True
53,1,2,female,,0,0,33.0,S,0,False,False
54,0,3,male,48.0,0,0,7.8542,S,0,False,False
55,1,2,female,3.0,1,2,41.5792,C,3,True,True
56,1,1,female,48.0,1,0,39.6,C,1,True,False
57,1,1,male,34.0,0,0,26.55,S,0,False,False
58,0,3,female,21.0,0,0,7.75,Q,0,False,False
